Score Time
588 2.17183
589 2.17894
589 2.19059
589 2.20544
590 2.23308
588 2.19331
587 2.32526
587 2.3492
588 2.03226
588 2.05521
588 2.08378
587 2.13196
587 2.21183
588 2.07776
588 2.06779
588 2.07819
587 2.05968
588 2.05801
587 2.0599
588 2.04398
587 2.04723
588 2.08118
588 2.06073
588 2.05965
588 2.07954
587 2.15247
587 2.09176
587 2.07004
587 2.09632
588 2.07645
587 2.04451
588 2.06655
588 2.05952
588 2.26833
588 2.47757
588 2.1236
588 2.11323
588 2.08682
587 2.05806
587 2.1287
588 2.08307
588 2.06676
588 2.0565
587 2.05023
588 2.05143
588 2.06714
587 2.11608
587 2.06903
587 2.05461
587 2.04611
587 2.08309
588 2.05766
588 2.0496
587 2.09137
587 2.1893
587 2.13829
588 2.0897
587 2.08766
587 2.08639
588 2.10524
587 2.07568
588 2.06693
587 2.05563
587 2.07278
588 2.06088
588 2.07321
587 2.0741
588 2.05227
588 2.05624
588 2.05611
588 2.05879
588 2.05015
588 2.06768
588 2.11871
587 2.056
588 2.08597
587 2.05865
587 2.04732
588 2.06408
587 2.0956
587 2.10274
587 2.05013
588 2.06208
588 2.07167
587 2.08437
587 2.10473
587 2.29964
587 2.31772
587 2.14906
587 2.10965
588 2.27857
587 2.37449
587 2.17432
588 2.12424
587 2.13558
588 2.18004
588 2.11973
588 2.18392
588 2.15104
588 2.14415
