,iter,score,time,passes,iteration
0,10,66,1.8583407402038574,10,11
1,17,73,1.3050806522369385,7,11
2,25,69,1.0491406917572021,8,11
3,33,67,0.9743962287902832,8,11
4,44,61,1.3227288722991943,11,11
5,50,66,0.725245475769043,6,11
0,8,80,1.5265235900878906,8,12
1,17,95,1.6776182651519775,9,12
2,27,71,1.8786988258361816,10,12
3,33,94,1.1111586093902588,6,12
4,44,90,1.8759760856628418,11,12
5,50,102,0.6316366195678711,6,12
0,8,51,1.3916969299316406,8,13
1,14,69,0.7539339065551758,6,13
2,20,76,0.7459597587585449,6,13
3,31,56,1.3305087089538574,11,13
4,39,70,1.2375867366790771,8,13
5,47,67,1.4934606552124023,8,13
6,50,96,0.5688638687133789,3,13
0,10,85,1.8862290382385254,10,14
1,15,63,0.9321508407592773,5,14
2,23,61,1.4863133430480957,8,14
3,29,75,1.1157333850860596,6,14
4,39,73,1.8661777973175049,10,14
5,48,78,1.20961332321167,9,14
6,50,149,0.2083573341369629,2,14
0,8,64,1.5315465927124023,8,15
1,17,77,1.6809725761413574,9,15
2,25,96,1.4975016117095947,8,15
3,35,69,1.2176718711853027,10,15
4,44,79,1.065281629562378,9,15
5,50,91,0.7242143154144287,6,15
0,8,66,1.5194435119628906,8,16
1,19,81,1.6106500625610352,11,16
2,27,66,1.0165717601776123,8,16
3,34,73,1.322037935256958,7,16
4,43,50,1.660191535949707,9,16
5,50,93,1.0152060985565186,7,16
0,9,40,1.7045910358428955,9,17
1,15,96,1.1350758075714111,6,17
2,23,74,1.375812292098999,8,17
3,30,69,0.8583097457885742,7,17
4,36,84,0.9234051704406738,6,17
5,47,62,1.9488108158111572,11,17
6,50,127,0.3277246952056885,3,17
0,8,65,1.0565195083618164,8,18
1,17,77,1.5553441047668457,9,18
2,26,85,1.6848983764648438,9,18
3,36,93,1.4272675514221191,10,18
4,43,102,0.8485274314880371,7,18
5,50,73,0.8714244365692139,7,18
0,8,56,0.9797694683074951,8,19
1,16,74,1.205045223236084,8,19
2,24,62,1.502185583114624,8,19
3,33,73,1.671722650527954,9,19
4,41,74,1.504349708557129,8,19
5,49,56,1.150627851486206,8,19
6,50,283,0.12628507614135742,1,19
0,11,70,1.5710117816925049,11,20
1,20,58,1.6656320095062256,9,20
2,28,51,1.3492937088012695,8,20
3,38,82,1.3896048069000244,10,20
4,48,62,1.210923433303833,10,20
5,50,125,0.25269460678100586,2,20
