,iter,score,time,event,passes,iteration
6,57,83,1.3213891983032227,normal,7,5
7,64,55,1.3216183185577393,normal,7,5
8,74,108,1.8721468448638916,normal,10,5
9,80,93,1.1308391094207764,normal,6,5
10,86,80,0.6912572383880615,normal,6,5
11,94,79,0.9550402164459229,normal,8,5
12,100,44,0.757197380065918,normal,6,5
0,9,47,1.125812292098999,normal,9,6
1,18,89,1.254702091217041,normal,9,6
2,24,70,0.6792442798614502,normal,6,6
3,34,73,1.1282987594604492,normal,10,6
4,42,47,1.195460557937622,normal,8,6
5,52,63,1.8852126598358154,normal,10,6
6,62,56,1.8464105129241943,normal,10,6
7,71,65,1.0498921871185303,normal,9,6
8,79,46,0.9034969806671143,normal,8,6
9,87,73,1.349757194519043,normal,8,6
10,94,74,1.330387830734253,normal,7,6
11,100,75,0.903151273727417,normal,6,6
0,7,57,1.3005790710449219,normal,7,7
1,12,101,0.9417080879211426,normal,5,7
2,19,84,1.3016278743743896,normal,7,7
3,26,61,1.3399124145507812,normal,7,7
4,36,49,1.8903348445892334,normal,10,7
5,45,80,1.694789171218872,normal,9,7
6,52,77,1.3122684955596924,normal,7,7
7,63,54,2.079874038696289,normal,11,7
8,70,74,1.3213913440704346,normal,7,7
9,79,73,1.4020214080810547,normal,9,7
10,84,85,0.5316982269287109,normal,5,7
11,92,66,0.8501777648925781,normal,8,7
12,99,77,0.69169020652771,normal,7,7
13,100,303,0.10059809684753418,normal,1,7
0,8,67,1.4506216049194336,normal,8,8
1,15,110,1.2134394645690918,normal,7,8
2,26,70,1.5035817623138428,normal,11,8
3,32,86,0.8753979206085205,normal,6,8
4,40,71,0.9802470207214355,normal,8,8
5,48,77,0.9787838459014893,normal,8,8
6,55,79,1.0114545822143555,normal,7,8
7,62,85,1.0961413383483887,normal,7,8
8,69,69,1.1109189987182617,normal,7,8
9,77,67,0.9081406593322754,normal,8,8
10,83,60,0.6877551078796387,normal,6,8
11,92,63,1.6126677989959717,normal,9,8
12,100,95,1.0914645195007324,normal,8,8
0,7,51,1.3129160404205322,normal,7,9
1,15,49,1.102952480316162,normal,8,9
2,24,82,1.5650761127471924,normal,9,9
3,31,78,1.3288633823394775,normal,7,9
4,41,63,1.437861680984497,normal,10,9
5,48,75,0.8370332717895508,normal,7,9
6,58,67,1.2564966678619385,normal,10,9
7,67,75,1.5352296829223633,normal,9,9
8,79,99,2.236539840698242,normal,12,9
9,87,74,1.1225056648254395,normal,8,9
10,95,89,0.8769664764404297,normal,8,9
11,100,95,0.5296111106872559,normal,5,9
0,6,99,0.784005880355835,normal,6,10
1,14,61,0.9382100105285645,normal,8,10
2,21,84,1.2973759174346924,normal,7,10
3,33,57,2.261273145675659,normal,12,10
4,41,59,1.50370454788208,normal,8,10
5,50,62,1.4964871406555176,normal,9,10
6,59,66,1.3586909770965576,normal,9,10
7,65,63,1.1123957633972168,normal,6,10
8,75,75,1.8915536403656006,normal,10,10
9,82,48,1.085892677307129,normal,7,10
10,89,81,0.9230225086212158,normal,7,10
11,99,81,1.0676991939544678,normal,10,10
12,100,303,0.10237336158752441,normal,1,10
0,9,77,1.560368299484253,normal,9,11
1,16,74,1.3117549419403076,normal,7,11
2,24,63,1.5110063552856445,normal,8,11
3,33,69,1.7029194831848145,normal,9,11
4,42,70,1.6990954875946045,normal,9,11
5,49,59,1.2129461765289307,normal,7,11
6,57,81,0.9033634662628174,normal,8,11
7,66,72,1.4101145267486572,normal,9,11
8,75,79,1.1117372512817383,normal,9,11
9,82,60,1.228743553161621,normal,7,11
10,90,69,1.2660577297210693,normal,8,11
11,99,67,0.9243245124816895,normal,9,11
12,100,292,0.10065579414367676,normal,1,11
0,10,58,1.822676658630371,normal,10,12
1,17,116,1.1163723468780518,normal,7,12
2,26,55,1.551285743713379,normal,9,12
3,33,72,1.2278938293457031,normal,7,12
4,41,67,1.5227670669555664,normal,8,12
5,48,75,1.3445453643798828,normal,7,12
6,55,70,1.333808422088623,normal,7,12
7,63,63,1.227992057800293,normal,8,12
