Score Time
654 0.0948031 
654 0.188458 
640 0.281112 
652 0.375471 
654 0.46862 
644 0.561547 
653 0.653976 
662 0.745337 
653 0.838067 
654 0.931663 
664 1.03008 
671 1.12632 
642 1.22174 
670 1.31721 
628 1.41159 
656 1.50782 
653 1.60385 
619 1.69867 
658 1.79584 
683 1.89213 
640 1.98718 
638 2.08088 
665 2.17564 
666 2.26952 
653 2.3634 
650 2.45739 
654 2.55211 
646 2.64703 
647 2.74242 
647 2.83699 
668 2.93227 
638 3.02701 
670 3.12237 
649 3.21914 
651 3.31335 
663 3.40772 
663 3.50192 
627 3.5961 
629 3.69058 
690 3.7851 
641 3.87767 
650 3.97069 
630 4.06451 
646 4.15867 
637 4.25253 
637 4.34682 
678 4.44084 
655 4.53559 
659 4.63013 
637 4.7235 
664 4.81799 
654 0.0943084 
654 0.189128 
640 0.282399 
652 0.377318 
654 0.472095 
644 0.565268 
653 0.657761 
662 0.750477 
653 0.843363 
654 0.935453 
664 1.03014 
671 1.12505 
642 1.21904 
670 1.31396 
628 1.40825 
656 1.50176 
653 1.59571 
631 1.6885 
658 1.78353 
683 1.8792 
640 1.97403 
638 2.06748 
665 2.16222 
666 2.25666 
653 2.35084 
650 2.44608 
654 2.54184 
646 2.64051 
647 2.73578 
647 2.83112 
668 2.93123 
638 3.0318 
670 3.12844 
649 3.22664 
651 3.32283 
663 3.41983 
663 3.51376 
627 3.61503 
629 3.71972 
641 3.81441 
650 3.9101 
630 4.006 
646 4.10152 
637 4.2158 
637 4.312 
678 4.40837 
655 4.50556 
659 4.60269 
648 4.69835 
664 4.79472 
668 4.89197 
654 0.0955738 
654 0.195137 
640 0.291604 
652 0.389771 
654 0.487012 
644 0.584132 
653 0.680155 
662 0.782599 
653 0.884898 
654 0.981159 
664 1.07692 
671 1.17341 
642 1.26928 
670 1.365 
628 1.46022 
656 1.55711 
653 1.65248 
631 1.75021 
658 1.84708 
640 1.94351 
638 2.03916 
665 2.13611 
666 2.23293 
653 2.32935 
650 2.42506 
654 2.52074 
646 2.61672 
647 2.71112 
647 2.80612 
668 2.9017 
638 3.00032 
670 3.1002 
649 3.20057 
651 3.29932 
663 3.39766 
663 3.49536 
627 3.59261 
629 3.6907 
641 3.78497 
650 3.88018 
630 3.97559 
646 4.06949 
637 4.16395 
637 4.25787 
678 4.35563 
655 4.45435 
659 4.55193 
648 4.64742 
664 4.74486 
668 4.8418 
651 4.93992 
654 0.0943969 
654 0.189972 
640 0.285158 
652 0.382911 
654 0.48062 
644 0.577145 
653 0.673344 
662 0.768842 
653 0.866079 
654 0.961955 
664 1.0573 
671 1.15309 
642 1.24832 
670 1.34391 
628 1.44068 
656 1.53688 
653 1.63222 
631 1.72706 
658 1.82375 
640 1.92036 
638 2.0159 
665 2.11181 
666 2.20852 
653 2.30414 
650 2.39914 
654 2.49559 
646 2.59202 
647 2.68729 
647 2.7829 
668 2.8782 
638 2.97335 
670 3.0695 
649 3.1674 
