,iter,score,time,event,passes,iteration
1,15,56,1.1466705799102783,normal,6,18
2,26,57,1.3658020496368408,normal,11,18
3,33,74,0.8279292583465576,normal,7,18
4,41,60,1.3796372413635254,normal,8,18
5,49,80,1.4614722728729248,normal,8,18
6,50,256,0.10690951347351074,normal,1,18
0,9,78,1.1396801471710205,normal,9,19
1,18,73,1.1256296634674072,normal,9,19
2,28,64,1.4716956615447998,normal,10,19
3,37,65,1.0518457889556885,normal,9,19
4,46,63,1.0648727416992188,normal,9,19
5,50,94,0.4672861099243164,normal,4,19
0,9,62,1.7177884578704834,normal,9,20
1,19,68,1.6815159320831299,normal,10,20
2,27,80,0.925044059753418,normal,8,20
3,34,88,0.8255608081817627,normal,7,20
4,44,77,1.1652002334594727,normal,10,20
5,50,58,0.7063033580780029,normal,6,20
0,8,64,1.5258502960205078,normal,8,21
1,15,46,1.0302295684814453,normal,7,21
2,22,76,1.1323697566986084,normal,7,21
3,31,53,1.6806895732879639,normal,9,21
4,39,50,1.5146183967590332,normal,8,21
5,46,67,0.8871955871582031,normal,7,21
6,50,68,0.43930625915527344,normal,4,21
0,10,72,1.893571138381958,normal,10,22
1,20,73,1.883204460144043,normal,10,22
2,27,88,0.996713399887085,normal,7,22
3,36,59,1.059049367904663,normal,9,22
4,44,75,0.937896728515625,normal,8,22
5,50,56,0.7062249183654785,normal,6,22
0,9,47,1.4219908714294434,normal,9,23
1,17,79,1.1166512966156006,normal,8,23
2,26,81,1.4158000946044922,normal,9,23
3,33,95,1.31345534324646,normal,7,23
4,39,82,0.7088158130645752,normal,6,23
5,46,84,0.8199646472930908,normal,7,23
6,50,105,0.46042609214782715,normal,4,23
0,8,56,0.9523277282714844,normal,8,24
1,14,57,0.7186870574951172,normal,6,24
2,22,79,0.8588688373565674,normal,8,24
3,30,80,0.8147337436676025,normal,8,24
4,39,68,0.9206535816192627,normal,9,24
5,46,72,0.7197020053863525,normal,7,24
6,50,82,0.41199755668640137,normal,4,24
